Group;Tc;Pc;Vc;Tb;Tm;Hform;Gform;a;b;c;d;Hfusion;Hvap;mua;mub;Mw;# atoms
-CH3;0.0141;-0.0012;65;23.58;-5.1;-76.45;-43.96;19.5;-0.00808;0.000153;-9.67E-08;0.908;2.373;548.29;-1.719;15.03452;4
-CH2-;0.0189;0;56;22.88;11.27;-20.64;8.42;-0.909;0.095;-0.0000544;1.19E-08;2.59;2.226;94.16;-0.199;14.02658;3
>CH-;0.0164;0.002;41;21.74;12.64;29.89;58.36;-23;0.204;-0.000265;0.00000012;0.749;1.691;-322.15;1.187;13.01864;2
>C<;0.0067;0.0043;27;18.25;46.43;82.23;116.02;-66.2;0.427;-0.000641;0.000000301;-1.46;0.636;-573.56;2.307;12.0107;1
=CH2;0.0113;-0.0028;56;18.18;-4.32;-9.63;3.77;23.6;-0.0381;0.000172;-0.000000103;-0.473;1.724;495.01;-1.539;14.02658;3
=CH-;0.0129;-0.0006;46;24.96;8.73;37.97;48.53;-8;0.105;-0.0000963;3.56E-08;2.691;2.205;82.28;-0.242;13.01864;2
=C<;0.0117;0.0011;38;24.14;11.14;83.99;92.36;-28.1;0.208;-0.000306;0.000000146;3.063;2.138;;;12.0107;1
=C=;0.0026;0.0028;36;26.15;17.78;142.14;136.7;27.4;-0.0557;0.000101;-5.02E-08;4.72;2.661;;;12.0107;1
=-CH;0.0027;-0.0008;46;9.2;-11.18;79.3;77.71;24.5;-0.0271;0.000111;-6.78E-08;2.322;1.155;;;13.01864;2
=-C-;0.002;0.0016;37;27.38;64.32;115.51;109.82;7.87;0.0201;-0.00000833;1.39E-09;4.151;3.302;;;12.0107;1
-CH2- ring;0.01;0.0025;48;27.15;7.75;-26.8;-3.68;-6.03;0.0854;-0.000008;-0.000000018;0.49;2.398;307.53;-0.798;14.02658;3
>CH- ring;0.0122;0.0004;38;21.78;19.88;8.67;40.99;-20.5;0.162;-0.00016;6.24E-08;3.243;1.942;-394.29;1.251;13.01864;2
>C< ring;0.0042;0.0061;27;21.32;60.15;79.72;87.88;-90.9;0.557;-0.0009;0.000000469;-1.373;0.644;;;12.0107;1
=CH- ring;0.0082;0.0011;41;26.73;8.13;2.09;11.3;-2.14;0.0574;-0.00000164;-1.59E-08;1.101;2.544;259.65;-0.702;13.01864;2
=C< ring;0.0143;0.0008;32;31.01;37.02;46.43;54.05;-8.25;0.101;-0.000142;6.78E-08;2.394;3.059;-245.74;0.912;12.0107;1
-F;0.0111;-0.0057;27;-0.03;-15.78;-251.92;-247.19;26.5;-0.0913;0.000191;-0.000000103;1.398;-0.67;;;18.9984032;1
-Cl;0.0105;-0.0049;58;38.13;13.55;-71.55;-64.31;33.3;-0.0963;0.000187;-9.96E-08;2.515;4.532;625.45;-1.814;35.453;1
-Br;0.0133;0.0057;71;66.86;43.43;-29.48;-38.06;28.6;-0.0649;0.000136;-7.45E-08;3.603;6.582;738.91;-2.038;79.904;1
-I;0.0068;-0.0034;97;93.84;41.69;21.06;5.74;32.1;-0.0641;0.000126;-6.87E-08;2.724;9.52;809.55;-2.224;126.90447;1
-OH alcohol;0.0741;0.0112;28;92.88;44.45;-208.04;-189.2;25.7;-0.0691;0.000177;-9.88E-08;2.406;16.826;2173.72;-5.057;17.00734;2
-OH phenol;0.024;0.0184;-25;76.34;82.83;-221.65;-197.37;-2.81;0.111;-0.000116;4.94E-08;4.49;12.499;3018.17;-7.314;17.00734;2
-O- nonring;0.0168;0.0015;18;22.42;22.23;-132.22;-105;25.5;-0.0632;0.000111;-5.48E-08;1.188;2.41;122.09;-0.386;15.9994;1
-O- ring;0.0098;0.0048;13;31.22;23.05;-138.16;-98.22;12.2;-0.0126;0.0000603;-3.86E-08;5.879;4.682;440.24;-0.953;15.9994;1
>C=O nonring;0.038;0.0031;62;76.75;61.2;-133.22;-120.5;6.45;0.067;-0.0000357;2.86E-09;4.189;8.972;340.35;-0.35;28.0101;2
>C=O ring;0.0284;0.0028;55;94.97;75.97;-164.5;-126.27;30.4;-0.0829;0.000236;-0.000000131;0;6.645;;;28.0101;2
O=CH- aldehyde;0.0379;0.003;82;72.24;36.9;-162.03;-143.48;30.9;-0.0336;0.00016;-9.88E-08;3.197;9.093;740.92;-1.713;29.01804;3
-COOH acid;0.0791;0.0077;89;169.09;155.5;-426.72;-387.87;24.1;0.0427;0.0000804;-6.87E-08;11.051;19.537;1317.23;-2.578;45.01744;4
-COO- ester;0.0481;0.0005;82;81.1;53.6;-337.92;-301.95;24.5;0.0402;0.0000402;-4.52E-08;6.959;9.633;483.88;-0.966;44.0095;3
=O other than above;0.0143;0.0101;36;-10.5;2.08;-247.61;-250.83;6.82;0.0196;0.0000127;-1.78E-08;3.624;5.909;675.24;-1.34;15.9994;1
-NH2;0.0243;0.0109;38;73.23;66.89;-22.02;14.07;26.9;-0.0412;0.000164;-9.76E-08;3.515;10.788;;;16.02258;3
>NH non-ring;0.0295;0.0077;35;50.17;52.66;53.47;89.39;-1.21;0.0762;-0.0000486;1.05E-08;5.099;6.436;;;15.01464;2
>NH ring;0.013;0.0114;29;52.82;101.51;31.65;75.61;11.8;-0.023;0.000107;-6.28E-08;7.49;6.93;;;15.01464;2
>N-nonring;0.0169;0.0074;9;11.74;48.84;123.34;163.16;-31.1;0.227;-0.00032;0.000000146;4.703;1.896;;;14.0067;1
-N= nonring;0.0255;-0.0099;;74.6;;23.61;;;;;;;3.335;;;14.0067;1
-N= ring;0.0085;0.0076;34;57.55;68.4;55.52;79.93;8.83;-0.00384;0.0000435;-0.000000026;3.649;6.528;;;14.0067;1
=NH;;;;83.08;68.91;93.7;119.66;5.69;-0.00412;0.000128;-8.88E-08;;12.169;;;15.01464;2
-CN;0.0496;-0.0101;91;125.66;59.89;88.43;89.22;36.5;-0.0733;0.000184;-0.000000103;2.414;12.851;;;26.0174;2
-NO2;0.0437;0.0064;91;152.54;127.24;-66.57;-16.83;25.9;-0.00374;0.000129;-8.88E-08;9.679;16.738;;;46.0055;3
-SH;0.0031;0.0084;63;63.56;20.09;-17.33;-22.99;35.3;-0.0758;0.000185;-0.000000103;2.36;6.884;;;33.07294;2
-S- nonring;0.0119;0.0049;54;68.78;34.4;41.87;33.12;19.6;-0.00561;0.0000402;-2.76E-08;4.13;6.817;;;32.065;1
-S- ring;0.0019;0.0051;38;52.1;79.93;39.1;27.76;16.7;0.00481;0.0000277;-2.11E-08;1.557;5.984;;;32.065;1
